method,AUC_PR_mean,AUC_PR_std,AUC_PR_min,AUC_PR_max
SilIF(a=0.0),0.013682327480564,0.000985281878549093,0.012412704242434559,0.014924382695687365
SilIF(a=0.25),0.011857844266564865,0.0010845165392493017,0.010342134923630205,0.013244451585661614
SilIF(a=0.5),0.010544424784317953,0.001915807650635255,0.00848653421026064,0.013675238309783908
SilIF(a=1.0),0.0092721321005514,0.00262726299089254,0.0067598655007489765,0.013741599655461068
SilIF(a=2.0),0.008405252902449275,0.002732426741585568,0.005628821938607236,0.012819357411380761
SilIF(a=4.0),0.007091861258318762,0.0022538636494835664,0.005315459925758421,0.011010638546395245
IF,0.013682327480564,0.000985281878549093,0.012412704242434559,0.014924382695687365
GlobalKMeans,0.021944737795515847,0.000270379162016877,0.021462733571029905,0.02209599472642125
