method,AUC_ROC_mean,AUC_ROC_std,AUC_ROC_min,AUC_ROC_max
SilIF(a=0.0),0.7388212395282359,0.007781347306195423,0.7312316955109894,0.7518033508971433
SilIF(a=0.25),0.7203134701315836,0.012425276692188413,0.7024811170474621,0.7368751863072069
SilIF(a=0.5),0.6862350286161829,0.035149342887595365,0.6526313403760844,0.7367035500425565
SilIF(a=1.0),0.6236807638321477,0.07253451179892725,0.5543326205336194,0.7310079989268888
SilIF(a=2.0),0.5673001291959459,0.09747361270102298,0.4814344692595313,0.7181320997592965
SilIF(a=4.0),0.5325345261910369,0.10634921030357487,0.43873817066718396,0.7004884255045414
IF,0.7388212395282359,0.007781347306195423,0.7312316955109894,0.7518033508971433
GlobalKMeans,0.806924428102778,0.0013041551851138964,0.8045992909038421,0.8076538516247286
