method,AUC_PR_mean,AUC_PR_std,AUC_PR_min,AUC_PR_max,n_seeds
SilIF,0.13153039198813304,0.012195492730303825,0.11917080418021128,0.14837374294860797,5
IF,0.12593451564599412,0.009674627801444178,0.11616008574955192,0.1406438575030608,5
GlobalKMeans,0.1448383839509936,0.01976759961675338,0.10949486083025495,0.15413540209576085,5
HBOS,0.07348149913247402,0.0,0.07348149913247402,0.07348149913247402,5
ECOD,0.06524825364828235,0.0,0.06524825364828235,0.06524825364828235,5
