method,AUC_ROC_mean,AUC_ROC_std,AUC_ROC_min,AUC_ROC_max,n_seeds
SilIF,0.7235479451324311,0.0025520903116242684,0.7205157340974208,0.7268125826456422,5
IF,0.722015662064357,0.0017276591439593645,0.7189359085578306,0.7229178786310401,5
GlobalKMeans,0.7100462966216575,0.007669345245134697,0.6963535203174714,0.7138613339925373,5
HBOS,0.6786258227871522,0.0,0.6786258227871522,0.6786258227871522,5
ECOD,0.653185686712754,0.0,0.653185686712754,0.653185686712754,5
