,AUC_ROC,AUC_PR,P@50,R@50,P@100,R@100,P@500,R@500,P@1000,R@1000
HBOS,0.7643786725711421,0.3481474067067839,1.0,0.005180810278727593,1.0,0.010361620557455186,0.918,0.047559838358719304,0.8,0.08289296445964149
SilIF (silhouette-augmented IF),0.7605280670979646,0.2581163231744319,1.0,0.005180810278727593,0.89,0.009221842296135116,0.628,0.03253548855040928,0.546,0.05657444824370531
GlobalKMeans,0.751734785626406,0.2526776743908931,1.0,0.005180810278727593,0.87,0.009014609884986011,0.54,0.027976375505129002,0.545,0.05647083203813076
IsolationForest,0.7319766070956772,0.20709632709277345,1.0,0.005180810278727593,0.87,0.009014609884986011,0.47,0.024349808310019688,0.371,0.03844161226815874
SilK-intra,0.7636945225889074,0.20471337605770182,0.04,0.00020723241114910373,0.02,0.00020723241114910373,0.036,0.0018650917003419335,0.073,0.007563983006942286
ECOD,0.6669083272732945,0.19883204927873932,1.0,0.005180810278727593,0.95,0.009843539529582427,0.696,0.036058439539944045,0.522,0.05408765930991607
SilK-2level (patent),0.4071042148514473,0.07721543344543766,0.02,0.00010361620557455187,0.01,0.00010361620557455187,0.03,0.001554243083618278,0.035,0.0036265671951093152
